date,p,pet,tmean,qobs
1979-01-01,0,4.27,11.349576,NA
1979-01-02,0,4.45,14.329077,NA
1979-01-03,0,4.56,15.094792,NA
1979-01-04,0,4.41,15.211963,NA
1979-01-05,0.67896979,4.21,13.98434,NA
1979-01-06,0.50686482,3.55,12.000944,NA
1979-01-07,0.077439499,3.76,12.64815,NA
1979-01-08,0.031347952,3.36,12.736546,NA
1979-01-09,0.00081828355,4.01,11.923892,NA
1979-01-10,0,3.77,13.047358,NA
1979-01-11,0.0089848304,3.52,10.746258,NA
1979-01-12,0,3.31,10.228283,NA
1979-01-13,0,4.09,11.955658,NA
1979-01-14,0,4.16,12.63629,NA
1979-01-15,0,4.19,13.20906,NA
1979-01-16,0,4.32,14.439602,NA
1979-01-17,0.018199371,4.26,14.958408,NA
1979-01-18,0.016341691,2.83,11.924142,NA
1979-01-19,0.0089848304,3.68,13.069993,NA
1979-01-20,0.012106449,4.16,14.833725,NA
1979-01-21,0,4.14,13.894278,NA
1979-01-22,0,4.02,13.793202,NA
1979-01-23,0,3.75,12.039786,NA
1979-01-24,0,4.13,13.159931,NA
1979-01-25,0,4.1,13.296253,NA
1979-01-26,0,4.63,15.31235,NA
1979-01-27,0,4.3,14.123813,NA
1979-01-28,0,4.32,13.443148,NA
1979-01-29,0,3.96,14.045122,NA
1979-01-30,0.0089848304,4,11.037354,NA
1979-01-31,0,3.63,11.528474,NA
1979-02-01,0,3.59,12.145491,NA
1979-02-02,0,3.7,12.192182,NA
1979-02-03,0,3.55,12.003679,NA
1979-02-04,0,3.63,11.149717,NA
1979-02-05,0,3.5,11.412041,NA
1979-02-06,0,3.25,11.105157,NA
1979-02-07,0,3.44,10.797201,NA
1979-02-08,0.0089848304,2.74,8.1923004,NA
1979-02-09,0,3.16,9.0932294,NA
1979-02-10,0,3.71,10.596624,NA
1979-02-11,0,3.92,11.723544,NA
1979-02-12,0,3.33,11.377276,NA
1979-02-13,0,3.32,11.350004,NA
1979-02-14,0,3.04,9.0723525,NA
1979-02-15,0.004235242,2.67,8.8978345,NA
1979-02-16,0,3.34,9.922567,NA
1979-02-17,0,3.35,11.42241,NA
1979-02-18,0,3.67,12.020976,NA
1979-02-19,0.00081828355,3.45,11.881334,NA
1979-02-20,0,3.82,12.196795,NA
1979-02-21,0,4.41,15.325883,NA
1979-02-22,0,4.05,15.880632,NA
1979-02-23,0,3.67,12.759483,NA
1979-02-24,0,3.55,13.054699,NA
1979-02-25,0,3.6,13.378789,NA
1979-02-26,0,3.46,11.148012,NA
1979-02-27,0,3.09,11.740623,NA
1979-02-28,0.012106449,3.05,11.85762,NA
1979-03-01,0,3.53,12.338865,NA
1979-03-02,0,3.56,12.078411,NA
1979-03-03,0,3.43,12.025407,NA
1979-03-04,0,3.35,11.456165,NA
1979-03-05,0,3.53,12.983656,NA
1979-03-06,0,3.56,11.996598,NA
1979-03-07,0,3.52,13.032453,NA
1979-03-08,0,3.12,10.239072,NA
1979-03-09,0,3.06,10.651379,NA
1979-03-10,0,3.1,10.80656,NA
1979-03-11,0,2.89,10.00238,NA
1979-03-12,0.0089848304,2.72,9.0413757,NA
1979-03-13,0,3.14,11.048146,NA
1979-03-14,0,3.22,11.477231,NA
