area_fraction,elevation_m
0.0000,1380.5
0.0100,1590.3
0.0200,1705.3
0.0300,1788.2
0.0400,1857.3
0.0500,1918.5
0.0600,1977.3
0.0700,2033.3
0.0800,2083.6
0.0900,2130.7
0.1000,2176.3
0.1100,2220.7
0.1200,2263.2
0.1300,2304.8
0.1400,2345.4
0.1500,2384.0
0.1600,2421.9
0.1700,2459.8
0.1800,2494.3
0.1900,2528.9
0.2000,2561.9
0.2100,2594.7
0.2200,2625.9
0.2300,2656.4
0.2400,2685.2
0.2500,2713.2
0.2600,2741.1
0.2700,2768.4
0.2800,2794.4
0.2900,2820.3
0.3000,2845.7
0.3100,2869.7
0.3200,2893.0
0.3300,2915.8
0.3400,2938.5
0.3500,2960.6
0.3600,2982.3
0.3700,3003.4
0.3800,3024.4
0.3900,3045.0
0.4000,3065.1
0.4100,3084.3
0.4200,3103.3
0.4300,3121.4
0.4400,3138.6
0.4500,3155.0
0.4600,3170.9
0.4700,3186.8
0.4800,3202.2
0.4900,3217.2
0.5000,3232.1
0.5100,3246.8
0.5200,3261.9
0.5300,3277.1
0.5400,3292.3
0.5500,3307.4
0.5600,3322.2
0.5700,3336.8
0.5800,3351.2
0.5900,3365.2
0.6000,3379.2
0.6100,3393.2
0.6200,3407.3
0.6300,3421.1
0.6400,3434.8
0.6500,3448.2
0.6600,3461.4
0.6700,3474.1
0.6800,3486.4
0.6900,3498.5
0.7000,3510.3
0.7100,3522.2
0.7200,3533.8
0.7300,3545.1
0.7400,3556.6
0.7500,3568.1
0.7600,3579.5
0.7700,3590.5
0.7800,3601.9
0.7900,3613.2
0.8000,3624.5
0.8100,3636.1
0.8200,3647.7
0.8300,3659.3
0.8400,3671.5
0.8500,3683.9
0.8600,3696.4
0.8700,3709.0
0.8800,3722.4
0.8900,3736.7
0.9000,3751.8
0.9100,3767.2
0.9200,3784.4
0.9300,3803.2
0.9400,3824.7
0.9500,3849.9
0.9600,3878.9
0.9700,3913.0
0.9800,3959.6
0.9900,4026.7
1.0000,4392.0
