date,p,pet,qobs
1979-01-01,0,4.98,1.19522454521854
1979-01-02,0,5.41,1.15223085654162
1979-01-03,0,5.7,1.11267666295884
1979-01-04,0,6.07,1.07656196447023
1979-01-05,0,5.88,1.04388676107576
1979-01-06,0,5.86,1.00949181013422
1979-01-07,0,5.33,0.995733829757606
1979-01-08,0,5.38,0.985415344475143
1979-01-09,0,5.36,0.968217869004373
1979-01-10,0,4.96,0.928663675421601
1979-01-11,12.122336,4.57,0.885669986744675
1979-01-12,37.346474,1.82,0.913185947497908
1979-01-13,0,4.22,1.21758126333054
1979-01-14,0,5.08,1.21070227314224
1979-01-15,0,5.07,1.05936448899946
1979-01-16,0,4.66,0.997453577304683
1979-01-17,0,5.43,0.945861150892371
1979-01-18,0,5.89,0.89426872448006
1979-01-19,0,5.08,0.863313268632674
1979-01-20,0,5.3,0.820319579955748
1979-01-21,0,5.26,0.803122104484977
1979-01-22,0,5.09,0.794523366749592
1979-01-23,0,4.63,0.761848163355128
1979-01-24,0,4.78,0.73777169769605
1979-01-25,0,4.88,0.694778009019124
1979-01-26,0,4.55,0.663822553171737
1979-01-27,0,5,0.641465835059736
1979-01-28,0,5.41,0.610510379212349
1979-01-29,0,5.21,0.595032651288655
1979-01-30,0,4.63,0.574395680723731
1979-01-31,0,4.79,0.565796942988346
1979-02-01,0,4.91,0.560637700347115
1979-02-02,0,4.53,0.560637700347115
1979-02-03,0,4.09,0.553758710158807
1979-02-04,0,3.82,0.546879719970498
1979-02-05,0,4.9,0.545159972423421
1979-02-06,0,4.54,0.536561234688036
1979-02-07,0,4.94,0.521083506764343
1979-02-08,0,3.96,0.507325526387727
1979-02-09,0,3.94,0.490128050916956
1979-02-10,0,4.42,0.481529313181571
1979-02-11,0,4.57,0.474650322993263
1979-02-12,0,4.4,0.471210827899109
1979-02-13,7.0928384,3.72,0.466051585257878
1979-02-14,21.016303,2.53,0.467771332804955
1979-02-15,0,4.44,0.469491080352032
1979-02-16,0,4.11,0.4643318377108
1979-02-17,0,4.06,0.457452847522492
1979-02-18,0,4.48,0.455733099975415
1979-02-19,0,4.45,0.440255372051722
1979-02-20,0,5.25,0.431656634316337
1979-02-21,0,5.55,0.414459158845566
1979-02-22,0,4.69,0.402420926016027
1979-02-23,0,4.2,0.392102440733565
1979-02-24,0,4.31,0.38350370299818
1979-02-25,0,4.58,0.381783955451103
1979-02-26,0,4.67,0.380064207904026
1979-02-27,0,3.91,0.378344460356949
1979-02-28,0,4.63,0.381783955451103
1979-03-01,0,4.61,0.385223450545257
1979-03-02,0,3.26,0.38350370299818
1979-03-03,0,3.22,0.392102440733565
1979-03-04,0,3.28,0.402420926016027
1979-03-05,18.120536,3.4,0.397261683374796
1979-03-06,0,2.9,0.388662945639411
1979-03-07,0,3.81,0.407580168657258
1979-03-08,0,3.53,0.412739411298489
1979-03-09,0,3.85,0.397261683374796
1979-03-10,0,3.98,0.38350370299818
1979-03-11,0,3.81,0.376624712809872
1979-03-12,0,3.71,0.368025975074486
1979-03-13,0,3.54,0.362866732433255
1979-03-14,0,3.75,0.35426799469787
1979-03-15,0,3.79,0.340510014321254
1979-03-16,0,3.81,0.331911276585868
1979-03-17,0,3.81,0.335350771680023
1979-03-18,0,3.42,0.328471781491714
1979-03-19,0,3.52,0.330191529038792
1979-03-20,0,3.72,0.331911276585868
1979-03-21,0,2.8,0.331911276585868
1979-03-22,0,2.92,0.345669256962485
1979-03-23,0,3.58,0.338790266774177
1979-03-24,0,3.48,0.328471781491714
1979-03-25,0,3.2,0.323312538850483
1979-03-26,0,3.12,0.326752033944637
1979-03-27,0,2.99,0.319873043756329
1979-03-28,0,3.09,0.316433548662175
1979-03-29,0,3.22,0.311274306020944
1979-03-30,0,3.28,0.295796578097251
1979-03-31,0,3.15,0.292357083003097
1979-04-01,0,2.79,0.283758345267711
1979-04-02,0,2.43,0.275159607532326
1979-04-03,0,2.16,0.27859910262648
1979-04-04,0,2.24,0.287197840361866
1979-04-05,0,2.77,0.300955820738482
1979-04-06,0,3.21,0.288917587908943
1979-04-07,0,3.13,0.282038597720634
1979-04-08,0,2.6,0.285478092814788
1979-04-09,0,2.52,0.282038597720634
1979-04-10,0,2.68,0.259681879608633
1979-04-11,0,2.65,0.268280617344018
1979-04-12,0,2.72,0.27859910262648
1979-04-13,0,2.81,0.276879355079403
1979-04-14,0,2.6,0.266560869796941
1979-04-15,0,2.73,0.268280617344018
1979-04-16,0,2.14,0.266560869796941
1979-04-17,0,2.32,0.271720112438172
1979-04-18,0,2.17,0.275159607532326
1979-04-19,0,2.46,0.275159607532326
1979-04-20,0,2.66,0.275159607532326
1979-04-21,0,2.5,0.271720112438172
1979-04-22,0,2.43,0.266560869796941
1979-04-23,0,2.44,0.264841122249864
1979-04-24,0,2.12,0.264841122249864
1979-04-25,0,2.17,0.266560869796941
1979-04-26,0,2.17,0.263121374702787
1979-04-27,54.005933,1.2,0.273439859985249
1979-04-28,23.05727,1.16,0.69133851392497
1979-04-29,0,1.36,1.04732625616992
1979-04-30,0,1.48,0.770446901090514
1979-05-01,46.127829,1.62,0.579554923364962
1979-05-02,19.970942,1.22,0.674141038454199
1979-05-03,0,1.53,2.20127686025861
1979-05-04,0,1.74,1.183186312389
1979-05-05,0,1.79,0.887389734291752
1979-05-06,0,1.84,0.749809930525589
1979-05-07,0,1.77,0.658663310530506
1979-05-08,0,1.66,0.601911641476964
1979-05-09,18.566624,1.58,0.546879719970498
1979-05-10,19.680203,1.18,0.536561234688036
1979-05-11,0,1.49,1.15223085654162
1979-05-12,2.1027734,1.53,1.16254934182408
1979-05-13,0.20690838,1.34,0.968217869004373
1979-05-14,10.189993,1.56,0.916625442592062
1979-05-15,27.713921,0.97,1.21414176823639
1979-05-16,46.400428,1.13,3.8350370299818
1979-05-17,34.293254,0.89,12.3133924370716
1979-05-18,0,1.09,12.5025646672501
1979-05-19,0,1.36,6.12230126759426
1979-05-20,13.322601,1.51,4.38535624504645
1979-05-21,9.4241469,1.07,7.17134727131125
1979-05-22,0,1.2,NA
1979-05-23,0,1.62,4.23057896580952
1979-05-24,33.41311,1.39,3.55987742244947
1979-05-25,0,1.09,6.87899018830816
1979-05-26,0.60610084,1.32,4.91847798464033
1979-05-27,33.195353,0.86,6.43185582606813
1979-05-28,0.048538174,0.77,8.4783554070898
1979-05-29,0,1.19,6.07070884118195
1979-05-30,0,1.45,4.72930575446186
1979-05-31,0,1.54,3.90382693186488
1979-06-01,1.128282,1.14,3.26752033944637
1979-06-02,43.14964,0.79,2.99236073191405
1979-06-03,0,0.88,3.2503228639756
1979-06-04,0,0.96,2.80318850173557
1979-06-05,0,0.99,2.57962132061556
1979-06-06,0,1.01,2.321659188554
1979-06-07,0,1.17,2.13248695837553
1979-06-08,0,1.2,1.97770967913859
1979-06-09,0,1.24,1.8573273508432
1979-06-10,0,1.01,1.71286855688873
1979-06-11,0,1.06,1.57184925802841
1979-06-12,0,0.99,1.51165809388072
1979-06-13,0,1,1.45834591992133
1979-06-14,0,1.08,1.38783627049117
1979-06-15,0,1.11,1.32936485389055
1979-06-16,0,1.32,1.28465141766655
1979-06-17,0,1.27,1.23821823389547
1979-06-18,44.50058,0.88,1.21070227314224
1979-06-19,0,0.96,1.73694502254781
1979-06-20,0,1.14,1.94331472819705
1979-06-21,0,1.13,1.73694502254781
1979-06-22,39.604817,0.87,1.69567108141796
1979-06-23,0,0.81,2.88917587908943
1979-06-24,0,1.03,2.70000364891095
1979-06-25,0,1.25,2.59681879608633
1979-06-26,0,1.35,2.56242384514479
1979-06-27,0,1.21,2.52802889420325
1979-06-28,0,1.13,2.4420415168494
1979-06-29,0,1.04,2.321659188554
1979-06-30,0,1.04,2.23567181120015
1979-07-01,0,1.17,2.1496844338463
1979-07-02,0,1.11,2.11528948290476
1979-07-03,0,1.04,1.97770967913859
1979-07-04,0,1.21,1.89172230178474
1979-07-05,0,1.12,1.75414249801858
1979-07-06,2.9288069,0.99,1.60108496632872
1979-07-07,0,1.17,1.55121228746349
1979-07-08,0,1.37,1.50821859878656
1979-07-09,0,1.58,1.46006566746841
1979-07-10,0,1.47,1.4308299591681
1979-07-11,0,1.28,1.38955601803825
1979-07-12,8.9812579,1.07,1.31216737841978
1979-07-13,0,0.97,1.39815475577363
1979-07-14,0,0.97,1.42567071652687
1979-07-15,0,1.33,1.36032030973794
1979-07-16,4.9784315,1.38,1.29153040785486
1979-07-17,20.54326,0.82,1.31216737841978
1979-07-18,0,1,1.69567108141796
1979-07-19,0,1.46,1.49618036595702
1979-07-20,0,1.36,1.45662617237425
1979-07-21,0,1.18,1.4531866772801
1979-07-22,12.528161,1.04,1.45490642482718
1979-07-23,53.082533,0.54,2.73439859985249
1979-07-24,25.67049,0.8,14.0675349350902
1979-07-25,84.596014,0.84,11.1095691541177
1979-07-26,51.071467,0.76,45.4013352428338
1979-07-27,114.32564,0.86,54.8599467517575
1979-07-28,92.774797,0.81,120.5543030501
1979-07-29,61.634428,0.93,74.6370435431435
1979-07-30,55.925025,0.9,69.4778009019124
1979-07-31,50.273133,0.83,70.3376746754509
1979-08-01,13.622753,0.79,39.2102440733565
1979-08-02,9.1039953,1.02,24.420415168494
1979-08-03,49.287938,0.8,19.4331472819705
1979-08-04,22.709074,0.82,33.5350771680023
1979-08-05,46.563301,0.91,21.496844338463
1979-08-06,14.702995,0.96,34.2229761868331
1979-08-07,0,1.27,27.5159607532326
1979-08-08,0,1.56,19.2611725272628
1979-08-09,0,1.65,14.4630768709179
1979-08-10,0,1.5,11.9178505012439
1979-08-11,0,1.68,10.6280398409361
1979-08-12,0,1.59,9.30383422968678
1979-08-13,0,1.65,8.10001094673285
1979-08-14,4.4526233,1.48,7.11975484489894
1979-08-15,0,1.38,6.36306592418504
1979-08-16,0,1.66,5.81274670912039
1979-08-17,0,1.68,5.33121739593882
1979-08-18,0,1.76,5.00446536199418
1979-08-19,0,1.82,4.72930575446186
1979-08-20,52.688228,1.52,4.60892342616646
1979-08-21,12.029609,1.34,12.1758126333054
1979-08-22,6.847243,1.67,9.02867462215445
1979-08-23,62.184479,1.14,10.5420524635822
1979-08-24,74.095746,1.23,52.280325431142
1979-08-25,30.644732,1.04,45.2293604881261
1979-08-26,42.270995,1.01,32.3312538850483
1979-08-27,13.49763,0.91,30.0955820738482
1979-08-28,0.00070924436,1.47,19.9490715460937
1979-08-29,66.66976,1.56,33.70705192271
1979-08-30,33.825923,1.35,105.936448899946
1979-08-31,8.982304,1.09,46.4331837710801
1979-09-01,4.8660192,1.31,27.1720112438172
1979-09-02,0.00047282957,1.49,18.7452482631397
1979-09-03,0,1.97,14.308299591681
1979-09-04,0,2.71,11.8834555503023
1979-09-05,0,2.73,10.5420524635822
1979-09-06,0,2.24,9.90574587116375
1979-09-07,3.4854805,1.83,9.25224180327447
1979-09-08,0,2.27,8.59873773538519
1979-09-09,0,2.42,8.06561599579131
1979-09-10,13.214953,1.76,7.75606143731745
1979-09-11,6.0679059,1.78,8.87389734291752
1979-09-12,0.0019718508,1.66,8.18599832408671
1979-09-13,19.759442,1.97,7.56688920713897
1979-09-14,18.158869,1.32,8.46115793161903
1979-09-15,0,1.72,7.32612455054819
1979-09-16,0,2.31,6.67262048265891
1979-09-17,0,2.67,6.31147349777273
1979-09-18,0,2.84,5.95032651288656
