date,p,pet,qobs
1979-01-01,0,6.06,0.216476078982961
1979-01-02,0,6.36,0.208813208930466
1979-01-03,0,6.45,0.206897491417343
1979-01-04,0,7,0.204981773904219
1979-01-05,0,6.81,0.199234621364849
1979-01-06,0,6.81,0.195403186338602
1979-01-07,0,6.27,0.191380179561042
1979-01-08,0,6.51,0.188123459788732
1979-01-09,0,6.22,0.186399314026921
1979-01-10,0,6.01,0.1814184484928
1979-01-11,8.9829836,5.48,0.17816172872049
1979-01-12,21.714785,2.72,0.176820726461303
1979-01-13,0,4.97,0.181801591995424
1979-01-14,0,5.87,0.204981773904219
1979-01-15,0,5.92,0.208813208930466
1979-01-16,0,5.71,0.203066056391096
1979-01-17,0,6.06,0.193487468825478
1979-01-18,0,6.77,0.186207742275609
1979-01-19,0,6.11,0.183334166005923
1979-01-20,0,6.16,0.18065216148755
1979-01-21,0,6.17,0.179119587477051
1979-01-22,0,6.03,0.178353300471802
1979-01-23,0,5.41,0.177587013466553
1979-01-24,0,5.69,0.176437582958679
1979-01-25,0,5.78,0.176054439456054
1979-01-26,0,5.08,0.176054439456054
1979-01-27,0,5.64,0.176054439456054
1979-01-28,0,6.04,0.176246011207366
1979-01-29,0,6.05,0.176246011207366
1979-01-30,0,5.49,0.176054439456054
1979-01-31,0,5.64,0.176054439456054
1979-02-01,0,5.82,0.176054439456054
1979-02-02,0,5.18,0.175862867704741
1979-02-03,0.0012920995,4.56,0.175288152450804
1979-02-04,0,4.69,0.175288152450804
1979-02-05,0,5.63,0.175479724202117
1979-02-06,0,5.3,0.175288152450804
1979-02-07,0,6,0.175288152450804
1979-02-08,0.0013534494,4.86,0.175096580699492
1979-02-09,0,4.68,0.175096580699492
1979-02-10,0,5.37,0.175096580699492
1979-02-11,0,5.42,0.175862867704741
1979-02-12,0,5.28,0.176054439456054
1979-02-13,12.144384,4.21,0.175862867704741
1979-02-14,14.508692,2.98,0.177778585217865
1979-02-15,0,5.22,0.193487468825478
1979-02-16,0,4.83,0.206897491417343
1979-02-17,0,4.62,0.191571751312355
1979-02-18,0,5.14,0.183525737757236
1979-02-19,0,5.02,0.180077446233613
1979-02-20,0,6.12,0.178736443974427
1979-02-21,0,6.22,0.177778585217865
1979-02-22,0,5.05,0.176820726461303
1979-02-23,0,4.77,0.176246011207366
1979-02-24,0,4.81,0.176246011207366
1979-02-25,0,5.12,0.175862867704741
1979-02-26,0,5.29,0.175862867704741
1979-02-27,0,4.43,0.175479724202117
1979-02-28,0,5.26,0.175479724202117
1979-03-01,0,5.32,NA
1979-03-02,0,3.6,0.18065216148755
1979-03-03,0.092591507,3.62,0.181993163746737
1979-03-04,0,3.93,0.183334166005923
1979-03-05,16.582375,3.88,0.184483596513797
1979-03-06,0,3.25,0.18467516826511
1979-03-07,0,3.99,0.182759450751986
1979-03-08,0,3.98,0.188506603291357
1979-03-09,0,4.31,0.189272890296606
1979-03-10,0,4.49,0.186399314026921
1979-03-11,0,4.41,0.189847605550543
1979-03-12,0,4.17,0.216476078982961
1979-03-13,0,4.08,0.216476078982961
1979-03-14,0,4.15,0.218391796496084
1979-03-15,0,4.22,0.216476078982961
1979-03-16,0,4.28,0.216476078982961
1979-03-17,0,4.38,0.214560361469837
1979-03-18,0,3.97,0.218391796496084
1979-03-19,0,4.01,0.21072892644359
1979-03-20,0,4.37,0.201150338877972
1979-03-21,0,2.83,0.189464462047919
1979-03-22,0,3.38,0.189656033799231
1979-03-23,0,4.07,0.201150338877972
