date,p,pet,qobs
1979-01-01,0,5.54,NA
1979-01-02,0,5.98,NA
1979-01-03,0,6.03,NA
1979-01-04,0,6.61,NA
1979-01-05,0,6.47,NA
1979-01-06,0,6.45,NA
1979-01-07,0,5.93,NA
1979-01-08,0,6.04,NA
1979-01-09,0,5.85,NA
1979-01-10,0,5.55,NA
1979-01-11,10.062297,5.14,NA
1979-01-12,27.826484,2.31,NA
1979-01-13,0,4.59,NA
1979-01-14,0,5.57,NA
1979-01-15,0,5.62,NA
1979-01-16,0,5.25,NA
1979-01-17,0,5.76,NA
1979-01-18,0,6.51,NA
1979-01-19,0,5.74,NA
1979-01-20,0,5.75,NA
1979-01-21,0,5.78,NA
1979-01-22,0,5.61,NA
1979-01-23,0,5.06,NA
1979-01-24,0,5.25,NA
1979-01-25,0,5.33,NA
1979-01-26,0,4.62,NA
1979-01-27,0,5.31,NA
1979-01-28,0,5.81,NA
1979-01-29,0,5.88,NA
1979-01-30,0,5.21,NA
1979-01-31,0,5.35,NA
1979-02-01,0,5.49,NA
1979-02-02,0,4.97,NA
1979-02-03,0,4.28,NA
1979-02-04,0,4.14,NA
1979-02-05,0,5.27,NA
1979-02-06,0,4.99,NA
1979-02-07,0,5.56,NA
1979-02-08,0,4.73,NA
1979-02-09,0,4.39,NA
1979-02-10,0,4.89,NA
1979-02-11,0,4.96,NA
1979-02-12,0,4.82,NA
1979-02-13,13.972834,3.98,NA
1979-02-14,13.967065,2.7,NA
1979-02-15,0,4.83,NA
1979-02-16,0,4.46,NA
1979-02-17,0,4.28,NA
1979-02-18,0,4.84,NA
1979-02-19,0,4.79,NA
1979-02-20,0,5.73,NA
1979-02-21,0,5.97,NA
1979-02-22,0,4.78,NA
1979-02-23,0,4.5,NA
1979-02-24,0,4.5,NA
1979-02-25,0,4.78,NA
1979-02-26,0,5.03,NA
1979-02-27,0,4.11,NA
1979-02-28,0,4.99,NA
1979-03-01,0,5.08,NA
1979-03-02,0,3.42,NA
1979-03-03,0.44825192,3.29,NA
1979-03-04,0,3.53,NA
1979-03-05,24.381107,3.51,NA
1979-03-06,0,2.93,NA
1979-03-07,0,3.83,NA
1979-03-08,0,3.74,NA
1979-03-09,0,4.06,NA
1979-03-10,0,4.28,NA
1979-03-11,0,4.16,NA
1979-03-12,0,4.08,NA
1979-03-13,0,3.77,NA
